Cmdline: /system/bin/simpleperf record -f 1000 -g -p 17534 --duration 10
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4961
Event count: 11049081886

Overhead  Command          Pid    Tid    Shared Object                                                                  Symbol
0.07%     binder:17534_3   17534  17555  [kernel.kallsyms]                                                              _raw_spin_unlock_irqrestore
0.07%     binder:17534_6   17534  18147  /system/lib64/libgui.so                                                        @plt
0.07%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       DrawObjectsWithData(GameFrameData const&, float)
0.07%     binder:17534_6   17534  18147  /system/lib64/libutils.so                                                      android::RefBase::incStrong(void const*) const
0.07%     Debugger         17534  17534  [kernel.kallsyms]                                                              binder_alloc_new_buf_locked
0.07%     Debugger         17534  17534  [kernel.kallsyms]                                                              preempt_schedule_irq
0.07%     Debugger         17534  17534  /system/lib64/libgui.so                                                        android::Surface::dequeueBuffer(ANativeWindowBuffer**, int*)
0.06%     Debugger         17534  17534  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+1760ec4]
0.06%     Debugger         17534  17534  [kernel.kallsyms]                                                              selinux_file_permission.87bbe6f7b7afb66eaa6d1c629edc3068
0.06%     Debugger         17534  17534  [kernel.kallsyms]                                                              avc_lookup
0.06%     Debugger         17534  17534  [kernel.kallsyms]                                                              avc_has_extended_perms
0.06%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       std::__ndk1::pair<std::__ndk1::__hash_iterator<std::__ndk1::__hash_node<std::__ndk1::__hash_value_type<unsigned long, BoneScreenData>, void*>*>, bool> std::__ndk1::__hash_table<std::__ndk1::__hash_value_type<unsigned long, BoneScreenData>, std::__ndk1::__unordered_map_hasher<unsigned long, std::__ndk1::__hash_value_type<unsigned long, BoneScreenData>, std::__ndk1::hash<unsigned long>, std::__ndk1::equal_to<unsigned long>, true>, std::__ndk1::__unordered_map_equal<unsigned long, std::__ndk1::__hash_value_type<unsigned long, BoneScreenData>, std::__ndk1::equal_to<unsigned long>, std::__ndk1::hash<unsigned long>, true>, std::__ndk1::allocator<std::__ndk1::__hash_value_type<unsigned long, BoneScreenData>>>::__emplace_unique_key_args<unsigned long, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned long const&>, std::__ndk1::tuple<>>(unsigned long const&, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned long const&>&&, std::__ndk1::tuple<>&&)
0.06%     Debugger         17534  17534  [kernel.kallsyms]                                                              binder_transaction
0.06%     binder:17534_3   17534  17555  /system/lib64/libgui.so                                                        android::BLASTBufferQueue::releaseBufferCallbackLocked(android::ReleaseCallbackId const&, android::sp<android::Fence> const&, std::__1::optional<unsigned int>, bool) (.cold.0)
0.06%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       std::__ndk1::__shared_mutex_base::unlock_shared()
0.06%     Debugger         17534  17534  /system/lib64/libhidlbase.so                                                   android::hardware::hidl_string::operator std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>() const
0.06%     Debugger         17534  17534  [kernel.kallsyms]                                                              __arch_copy_from_user
0.06%     Debugger         17534  17534  /system/lib64/libgui.so                                                        android::TransactionCompletedListener::addSurfaceControlToCallbacks(android::sp<android::SurfaceControl> const&, std::__1::unordered_set<android::CallbackId, android::CallbackIdHash, std::__1::equal_to<android::CallbackId>, std::__1::allocator<android::CallbackId>> const&)
0.06%     Debugger         17534  17534  [kernel.kallsyms]                                                              __lock_text_start
0.06%     Debugger         17534  17534  [kernel.kallsyms]                                                              __softirqentry_text_start
0.06%     Debugger         17534  17534  [kernel.kallsyms]                                                              kmem_cache_alloc_trace
0.06%     binder:17534_3   17534  17555  /system/lib64/libui.so                                                         android::Fence::unflatten(void const*&, unsigned long&, int const*&, unsigned long&) (.cold.0)
0.06%     binder:17534_1   17534  17545  /apex/com.android.runtime/lib64/bionic/libc.so                                 scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::popBlocksImpl(scudo::SizeClassAllocatorLocalCache<scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>>*, unsigned long, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned int*, unsigned short)
0.06%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImDrawList::_ResetForNewFrame()
0.06%     Debugger         17534  17534  /system/lib64/libgui.so                                                        $x.cold.0
0.06%     Debugger         17534  17543  [kernel.kallsyms]                                                              __fget.llvm.4796752657974668945
0.05%     Debugger         17534  17534  [kernel.kallsyms]                                                              do_sys_poll
0.05%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       RefreshVisibilitySceneCache(VisibilitySceneKind, VisibilitySceneCacheState&, Vec3 const&, bool)
0.05%     Debugger         17534  17534  /system/lib64/libvulkan.so                                                     vkAcquireNextImageKHR
